汉字,笔顺,名称,UCS,image_paths
肝,3 5 1 1 1 1 2,803,0809D,"pic/noto_serif/肝.png,pic/source_han_sans/肝.png,pic/AlibabaPuHuiTi/肝.png,pic/kaiti/肝.png,pic/hanyi_senty_wen/肝.png"
肛,3 5 1 1 1 2 1,804,0809B,"pic/noto_serif/肛.png,pic/source_han_sans/肛.png,pic/AlibabaPuHuiTi/肛.png,pic/kaiti/肛.png,pic/hanyi_senty_wen/肛.png"
肚,3 5 1 1 1 2 1,805,0809A,"pic/noto_serif/肚.png,pic/source_han_sans/肚.png,pic/AlibabaPuHuiTi/肚.png,pic/kaiti/肚.png,pic/hanyi_senty_wen/肚.png"
肘,3 5 1 1 1 2 4,806,08098,"pic/noto_serif/肘.png,pic/source_han_sans/肘.png,pic/AlibabaPuHuiTi/肘.png,pic/kaiti/肘.png,pic/hanyi_senty_wen/肘.png"
肠,3 5 1 1 5 3 3,807,080A0,"pic/noto_serif/肠.png,pic/source_han_sans/肠.png,pic/AlibabaPuHuiTi/肠.png,pic/kaiti/肠.png,pic/hanyi_senty_wen/肠.png"
龟,3 5 2 5 1 1 5,808,09F9F,"pic/noto_serif/龟.png,pic/source_han_sans/龟.png,pic/AlibabaPuHuiTi/龟.png,pic/kaiti/龟.png,pic/hanyi_senty_wen/龟.png"
甸,3 5 2 5 1 2 1,809,07538,"pic/noto_serif/甸.png,pic/source_han_sans/甸.png,pic/AlibabaPuHuiTi/甸.png,pic/kaiti/甸.png,pic/hanyi_senty_wen/甸.png"
免,3 5 2 5 1 3 5,810,0514D,"pic/noto_serif/免.png,pic/source_han_sans/免.png,pic/AlibabaPuHuiTi/免.png,pic/kaiti/免.png,pic/hanyi_senty_wen/免.png"
狂,3 5 3 1 1 2 1,811,072C2,"pic/noto_serif/狂.png,pic/source_han_sans/狂.png,pic/AlibabaPuHuiTi/狂.png,pic/kaiti/狂.png,pic/hanyi_senty_wen/狂.png"
犹,3 5 3 1 3 5 4,812,072B9,"pic/noto_serif/犹.png,pic/source_han_sans/犹.png,pic/AlibabaPuHuiTi/犹.png,pic/kaiti/犹.png,pic/hanyi_senty_wen/犹.png"
狈,3 5 3 2 5 3 4,813,072C8,"pic/noto_serif/狈.png,pic/source_han_sans/狈.png,pic/AlibabaPuHuiTi/狈.png,pic/kaiti/狈.png,pic/hanyi_senty_wen/狈.png"
角,3 5 3 5 1 1 2,814,089D2,"pic/noto_serif/角.png,pic/source_han_sans/角.png,pic/AlibabaPuHuiTi/角.png,pic/kaiti/角.png,pic/hanyi_senty_wen/角.png"
删,3 5 3 5 1 2 2,815,05220,"pic/noto_serif/删.png,pic/source_han_sans/删.png,pic/AlibabaPuHuiTi/删.png,pic/kaiti/删.png,pic/hanyi_senty_wen/删.png"
条,3 5 4 1 2 3 4,816,06761,"pic/noto_serif/条.png,pic/source_han_sans/条.png,pic/AlibabaPuHuiTi/条.png,pic/kaiti/条.png,pic/hanyi_senty_wen/条.png"
彤,3 5 4 1 3 3 3,817,05F64,"pic/noto_serif/彤.png,pic/source_han_sans/彤.png,pic/AlibabaPuHuiTi/彤.png,pic/kaiti/彤.png,pic/hanyi_senty_wen/彤.png"
卵,3 5 4 3 5 2 4,818,05375,"pic/noto_serif/卵.png,pic/source_han_sans/卵.png,pic/AlibabaPuHuiTi/卵.png,pic/kaiti/卵.png,pic/hanyi_senty_wen/卵.png"
灸,3 5 4 4 3 3 4,819,07078,"pic/noto_serif/灸.png,pic/source_han_sans/灸.png,pic/AlibabaPuHuiTi/灸.png,pic/kaiti/灸.png,pic/hanyi_senty_wen/灸.png"
岛,3 5 4 5 2 5 2,820,05C9B,"pic/noto_serif/岛.png,pic/source_han_sans/岛.png,pic/AlibabaPuHuiTi/岛.png,pic/kaiti/岛.png,pic/hanyi_senty_wen/岛.png"
刨,3 5 5 1 5 2 2,821,05228,"pic/noto_serif/刨.png,pic/source_han_sans/刨.png,pic/AlibabaPuHuiTi/刨.png,pic/kaiti/刨.png,pic/hanyi_senty_wen/刨.png"
迎,3 5 5 2 4 5 4,822,08FCE,"pic/noto_serif/迎.png,pic/source_han_sans/迎.png,pic/AlibabaPuHuiTi/迎.png,pic/kaiti/迎.png,pic/hanyi_senty_wen/迎.png"
饭,3 5 5 3 3 5 4,823,0996D,"pic/noto_serif/饭.png,pic/source_han_sans/饭.png,pic/AlibabaPuHuiTi/饭.png,pic/kaiti/饭.png,pic/hanyi_senty_wen/饭.png"
饮,3 5 5 3 5 3 4,824,0996E,"pic/noto_serif/饮.png,pic/source_han_sans/饮.png,pic/AlibabaPuHuiTi/饮.png,pic/kaiti/饮.png,pic/hanyi_senty_wen/饮.png"
系,3 5 5 4 2 3 4,825,07CFB,"pic/noto_serif/系.png,pic/source_han_sans/系.png,pic/AlibabaPuHuiTi/系.png,pic/kaiti/系.png,pic/hanyi_senty_wen/系.png"
言,4 1 1 1 2 5 1,826,08A00,"pic/noto_serif/言.png,pic/source_han_sans/言.png,pic/AlibabaPuHuiTi/言.png,pic/kaiti/言.png,pic/hanyi_senty_wen/言.png"
冻,4 1 1 5 2 3 4,827,051BB,"pic/noto_serif/冻.png,pic/source_han_sans/冻.png,pic/AlibabaPuHuiTi/冻.png,pic/kaiti/冻.png,pic/hanyi_senty_wen/冻.png"
状,4 1 2 1 3 4 4,828,072B6,"pic/noto_serif/状.png,pic/source_han_sans/状.png,pic/AlibabaPuHuiTi/状.png,pic/kaiti/状.png,pic/hanyi_senty_wen/状.png"
亩,4 1 2 5 1 2 1,829,04EA9,"pic/noto_serif/亩.png,pic/source_han_sans/亩.png,pic/AlibabaPuHuiTi/亩.png,pic/kaiti/亩.png,pic/hanyi_senty_wen/亩.png"
况,4 1 2 5 1 3 5,830,051B5,"pic/noto_serif/况.png,pic/source_han_sans/况.png,pic/AlibabaPuHuiTi/况.png,pic/kaiti/况.png,pic/hanyi_senty_wen/况.png"
床,4 1 3 1 2 3 4,831,05E8A,"pic/noto_serif/床.png,pic/source_han_sans/床.png,pic/AlibabaPuHuiTi/床.png,pic/kaiti/床.png,pic/hanyi_senty_wen/床.png"
库,4 1 3 1 5 1 2,832,05E93,"pic/noto_serif/库.png,pic/source_han_sans/库.png,pic/AlibabaPuHuiTi/库.png,pic/kaiti/库.png,pic/hanyi_senty_wen/库.png"
庇,4 1 3 1 5 3 5,833,05E87,"pic/noto_serif/庇.png,pic/source_han_sans/庇.png,pic/AlibabaPuHuiTi/庇.png,pic/kaiti/庇.png,pic/hanyi_senty_wen/庇.png"
疗,4 1 3 4 1 5 2,834,07597,"pic/noto_serif/疗.png,pic/source_han_sans/疗.png,pic/AlibabaPuHuiTi/疗.png,pic/kaiti/疗.png,pic/hanyi_senty_wen/疗.png"
吝,4 1 3 4 2 5 1,835,0541D,"pic/noto_serif/吝.png,pic/source_han_sans/吝.png,pic/AlibabaPuHuiTi/吝.png,pic/kaiti/吝.png,pic/hanyi_senty_wen/吝.png"
应,4 1 3 4 4 3 1,836,05E94,"pic/noto_serif/应.png,pic/source_han_sans/应.png,pic/AlibabaPuHuiTi/应.png,pic/kaiti/应.png,pic/hanyi_senty_wen/应.png"
这,4 1 3 4 4 5 4,837,08FD9,"pic/noto_serif/这.png,pic/source_han_sans/这.png,pic/AlibabaPuHuiTi/这.png,pic/kaiti/这.png,pic/hanyi_senty_wen/这.png"
冷,4 1 3 4 4 5 4,838,051B7,"pic/noto_serif/冷.png,pic/source_han_sans/冷.png,pic/AlibabaPuHuiTi/冷.png,pic/kaiti/冷.png,pic/hanyi_senty_wen/冷.png"
庐,4 1 3 4 5 1 3,839,05E90,"pic/noto_serif/庐.png,pic/source_han_sans/庐.png,pic/AlibabaPuHuiTi/庐.png,pic/kaiti/庐.png,pic/hanyi_senty_wen/庐.png"
序,4 1 3 5 4 5 2,840,05E8F,"pic/noto_serif/序.png,pic/source_han_sans/序.png,pic/AlibabaPuHuiTi/序.png,pic/kaiti/序.png,pic/hanyi_senty_wen/序.png"
辛,4 1 4 3 1 1 2,841,08F9B,"pic/noto_serif/辛.png,pic/source_han_sans/辛.png,pic/AlibabaPuHuiTi/辛.png,pic/kaiti/辛.png,pic/hanyi_senty_wen/辛.png"
弃,4 1 5 4 1 3 2,842,05F03,"pic/noto_serif/弃.png,pic/source_han_sans/弃.png,pic/AlibabaPuHuiTi/弃.png,pic/kaiti/弃.png,pic/hanyi_senty_wen/弃.png"
冶,4 1 5 4 2 5 1,843,051B6,"pic/noto_serif/冶.png,pic/source_han_sans/冶.png,pic/AlibabaPuHuiTi/冶.png,pic/kaiti/冶.png,pic/hanyi_senty_wen/冶.png"
忘,4 1 5 4 5 4 4,844,05FD8,"pic/noto_serif/忘.png,pic/source_han_sans/忘.png,pic/AlibabaPuHuiTi/忘.png,pic/kaiti/忘.png,pic/hanyi_senty_wen/忘.png"
闰,4 2 5 1 1 2 1,845,095F0,"pic/noto_serif/闰.png,pic/source_han_sans/闰.png,pic/AlibabaPuHuiTi/闰.png,pic/kaiti/闰.png,pic/hanyi_senty_wen/闰.png"
闲,4 2 5 1 2 3 4,846,095F2,"pic/noto_serif/闲.png,pic/source_han_sans/闲.png,pic/AlibabaPuHuiTi/闲.png,pic/kaiti/闲.png,pic/hanyi_senty_wen/闲.png"
间,4 2 5 2 5 1 1,847,095F4,"pic/noto_serif/间.png,pic/source_han_sans/间.png,pic/AlibabaPuHuiTi/间.png,pic/kaiti/间.png,pic/hanyi_senty_wen/间.png"
闷,4 2 5 4 5 4 4,848,095F7,"pic/noto_serif/闷.png,pic/source_han_sans/闷.png,pic/AlibabaPuHuiTi/闷.png,pic/kaiti/闷.png,pic/hanyi_senty_wen/闷.png"
判,4 3 1 1 3 2 2,849,05224,"pic/noto_serif/判.png,pic/source_han_sans/判.png,pic/AlibabaPuHuiTi/判.png,pic/kaiti/判.png,pic/hanyi_senty_wen/判.png"
兑,4 3 2 5 1 3 5,850,05151,"pic/noto_serif/兑.png,pic/source_han_sans/兑.png,pic/AlibabaPuHuiTi/兑.png,pic/kaiti/兑.png,pic/hanyi_senty_wen/兑.png"
灶,4 3 3 4 1 2 1,851,07076,"pic/noto_serif/灶.png,pic/source_han_sans/灶.png,pic/AlibabaPuHuiTi/灶.png,pic/kaiti/灶.png,pic/hanyi_senty_wen/灶.png"
灿,4 3 3 4 2 5 2,852,0707F,"pic/noto_serif/灿.png,pic/source_han_sans/灿.png,pic/AlibabaPuHuiTi/灿.png,pic/kaiti/灿.png,pic/hanyi_senty_wen/灿.png"
灼,4 3 3 4 3 5 4,853,0707C,"pic/noto_serif/灼.png,pic/source_han_sans/灼.png,pic/AlibabaPuHuiTi/灼.png,pic/kaiti/灼.png,pic/hanyi_senty_wen/灼.png"
弟,4 3 5 1 5 2 3,854,05F1F,"pic/noto_serif/弟.png,pic/source_han_sans/弟.png,pic/AlibabaPuHuiTi/弟.png,pic/kaiti/弟.png,pic/hanyi_senty_wen/弟.png"
汪,4 4 1 1 1 2 1,855,06C6A,"pic/noto_serif/汪.png,pic/source_han_sans/汪.png,pic/AlibabaPuHuiTi/汪.png,pic/kaiti/汪.png,pic/hanyi_senty_wen/汪.png"
沐,4 4 1 1 2 3 4,856,06C90,"pic/noto_serif/沐.png,pic/source_han_sans/沐.png,pic/AlibabaPuHuiTi/沐.png,pic/kaiti/沐.png,pic/hanyi_senty_wen/沐.png"
沛,4 4 1 1 2 5 2,857,06C9B,"pic/noto_serif/沛.png,pic/source_han_sans/沛.png,pic/AlibabaPuHuiTi/沛.png,pic/kaiti/沛.png,pic/hanyi_senty_wen/沛.png"
汰,4 4 1 1 3 4 4,858,06C70,"pic/noto_serif/汰.png,pic/source_han_sans/汰.png,pic/AlibabaPuHuiTi/汰.png,pic/kaiti/汰.png,pic/hanyi_senty_wen/汰.png"
沥,4 4 1 1 3 5 3,859,06CA5,"pic/noto_serif/沥.png,pic/source_han_sans/沥.png,pic/AlibabaPuHuiTi/沥.png,pic/kaiti/沥.png,pic/hanyi_senty_wen/沥.png"
沙,4 4 1 2 3 4 3,860,06C99,"pic/noto_serif/沙.png,pic/source_han_sans/沙.png,pic/AlibabaPuHuiTi/沙.png,pic/kaiti/沙.png,pic/hanyi_senty_wen/沙.png"
汽,4 4 1 3 1 1 5,861,06C7D,"pic/noto_serif/汽.png,pic/source_han_sans/汽.png,pic/AlibabaPuHuiTi/汽.png,pic/kaiti/汽.png,pic/hanyi_senty_wen/汽.png"
沃,4 4 1 3 1 3 4,862,06C83,"pic/noto_serif/沃.png,pic/source_han_sans/沃.png,pic/AlibabaPuHuiTi/沃.png,pic/kaiti/沃.png,pic/hanyi_senty_wen/沃.png"
沦,4 4 1 3 4 3 5,863,06CA6,"pic/noto_serif/沦.png,pic/source_han_sans/沦.png,pic/AlibabaPuHuiTi/沦.png,pic/kaiti/沦.png,pic/hanyi_senty_wen/沦.png"
汹,4 4 1 3 4 5 2,864,06C79,"pic/noto_serif/汹.png,pic/source_han_sans/汹.png,pic/AlibabaPuHuiTi/汹.png,pic/kaiti/汹.png,pic/hanyi_senty_wen/汹.png"
泛,4 4 1 3 4 5 4,865,06CDB,"pic/noto_serif/泛.png,pic/source_han_sans/泛.png,pic/AlibabaPuHuiTi/泛.png,pic/kaiti/泛.png,pic/hanyi_senty_wen/泛.png"
沧,4 4 1 3 4 5 5,866,06CA7,"pic/noto_serif/沧.png,pic/source_han_sans/沧.png,pic/AlibabaPuHuiTi/沧.png,pic/kaiti/沧.png,pic/hanyi_senty_wen/沧.png"
没,4 4 1 3 5 5 4,867,06CA1,"pic/noto_serif/没.png,pic/source_han_sans/没.png,pic/AlibabaPuHuiTi/没.png,pic/kaiti/没.png,pic/hanyi_senty_wen/没.png"
沟,4 4 1 3 5 5 4,868,06C9F,"pic/noto_serif/沟.png,pic/source_han_sans/沟.png,pic/AlibabaPuHuiTi/沟.png,pic/kaiti/沟.png,pic/hanyi_senty_wen/沟.png"
沪,4 4 1 4 5 1 3,869,06CAA,"pic/noto_serif/沪.png,pic/source_han_sans/沪.png,pic/AlibabaPuHuiTi/沪.png,pic/kaiti/沪.png,pic/hanyi_senty_wen/沪.png"
沈,4 4 1 4 5 3 5,870,06C88,"pic/noto_serif/沈.png,pic/source_han_sans/沈.png,pic/AlibabaPuHuiTi/沈.png,pic/kaiti/沈.png,pic/hanyi_senty_wen/沈.png"
沉,4 4 1 4 5 3 5,871,06C89,"pic/noto_serif/沉.png,pic/source_han_sans/沉.png,pic/AlibabaPuHuiTi/沉.png,pic/kaiti/沉.png,pic/hanyi_senty_wen/沉.png"
沁,4 4 1 4 5 4 4,872,06C81,"pic/noto_serif/沁.png,pic/source_han_sans/沁.png,pic/AlibabaPuHuiTi/沁.png,pic/kaiti/沁.png,pic/hanyi_senty_wen/沁.png"
怀,4 4 2 1 3 2 4,873,06000,"pic/noto_serif/怀.png,pic/source_han_sans/怀.png,pic/AlibabaPuHuiTi/怀.png,pic/kaiti/怀.png,pic/hanyi_senty_wen/怀.png"
忧,4 4 2 1 3 5 4,874,05FE7,"pic/noto_serif/忧.png,pic/source_han_sans/忧.png,pic/AlibabaPuHuiTi/忧.png,pic/kaiti/忧.png,pic/hanyi_senty_wen/忧.png"
忱,4 4 2 4 5 3 5,875,05FF1,"pic/noto_serif/忱.png,pic/source_han_sans/忱.png,pic/AlibabaPuHuiTi/忱.png,pic/kaiti/忱.png,pic/hanyi_senty_wen/忱.png"
快,4 4 2 5 1 3 4,876,05FEB,"pic/noto_serif/快.png,pic/source_han_sans/快.png,pic/AlibabaPuHuiTi/快.png,pic/kaiti/快.png,pic/hanyi_senty_wen/快.png"
完,4 4 5 1 1 3 5,877,05B8C,"pic/noto_serif/完.png,pic/source_han_sans/完.png,pic/AlibabaPuHuiTi/完.png,pic/kaiti/完.png,pic/hanyi_senty_wen/完.png"
宋,4 4 5 1 2 3 4,878,05B8B,"pic/noto_serif/宋.png,pic/source_han_sans/宋.png,pic/AlibabaPuHuiTi/宋.png,pic/kaiti/宋.png,pic/hanyi_senty_wen/宋.png"
宏,4 4 5 1 3 5 4,879,05B8F,"pic/noto_serif/宏.png,pic/source_han_sans/宏.png,pic/AlibabaPuHuiTi/宏.png,pic/kaiti/宏.png,pic/hanyi_senty_wen/宏.png"
牢,4 4 5 3 1 1 2,880,07262,"pic/noto_serif/牢.png,pic/source_han_sans/牢.png,pic/AlibabaPuHuiTi/牢.png,pic/kaiti/牢.png,pic/hanyi_senty_wen/牢.png"
究,4 4 5 3 4 3 5,881,07A76,"pic/noto_serif/究.png,pic/source_han_sans/究.png,pic/AlibabaPuHuiTi/究.png,pic/kaiti/究.png,pic/hanyi_senty_wen/究.png"
穷,4 4 5 3 4 5 3,882,07A77,"pic/noto_serif/穷.png,pic/source_han_sans/穷.png,pic/AlibabaPuHuiTi/穷.png,pic/kaiti/穷.png,pic/hanyi_senty_wen/穷.png"
灾,4 4 5 4 3 3 4,883,0707E,"pic/noto_serif/灾.png,pic/source_han_sans/灾.png,pic/AlibabaPuHuiTi/灾.png,pic/kaiti/灾.png,pic/hanyi_senty_wen/灾.png"
良,4 5 1 1 5 3 4,884,0826F,"pic/noto_serif/良.png,pic/source_han_sans/良.png,pic/AlibabaPuHuiTi/良.png,pic/kaiti/良.png,pic/hanyi_senty_wen/良.png"
证,4 5 1 2 1 2 1,885,08BC1,"pic/noto_serif/证.png,pic/source_han_sans/证.png,pic/AlibabaPuHuiTi/证.png,pic/kaiti/证.png,pic/hanyi_senty_wen/证.png"
启,4 5 1 3 2 5 1,886,0542F,"pic/noto_serif/启.png,pic/source_han_sans/启.png,pic/AlibabaPuHuiTi/启.png,pic/kaiti/启.png,pic/hanyi_senty_wen/启.png"
评,4 5 1 4 3 1 2,887,08BC4,"pic/noto_serif/评.png,pic/source_han_sans/评.png,pic/AlibabaPuHuiTi/评.png,pic/kaiti/评.png,pic/hanyi_senty_wen/评.png"
补,4 5 2 3 4 2 4,888,08865,"pic/noto_serif/补.png,pic/source_han_sans/补.png,pic/AlibabaPuHuiTi/补.png,pic/kaiti/补.png,pic/hanyi_senty_wen/补.png"
初,4 5 2 3 4 5 3,889,0521D,"pic/noto_serif/初.png,pic/source_han_sans/初.png,pic/AlibabaPuHuiTi/初.png,pic/kaiti/初.png,pic/hanyi_senty_wen/初.png"
社,4 5 2 4 1 2 1,890,0793E,"pic/noto_serif/社.png,pic/source_han_sans/社.png,pic/AlibabaPuHuiTi/社.png,pic/kaiti/社.png,pic/hanyi_senty_wen/社.png"
祀,4 5 2 4 5 1 5,891,07940,"pic/noto_serif/祀.png,pic/source_han_sans/祀.png,pic/AlibabaPuHuiTi/祀.png,pic/kaiti/祀.png,pic/hanyi_senty_wen/祀.png"
识,4 5 2 5 1 3 4,892,08BC6,"pic/noto_serif/识.png,pic/source_han_sans/识.png,pic/AlibabaPuHuiTi/识.png,pic/kaiti/识.png,pic/hanyi_senty_wen/识.png"
诈,4 5 3 1 2 1 1,893,08BC8,"pic/noto_serif/诈.png,pic/source_han_sans/诈.png,pic/AlibabaPuHuiTi/诈.png,pic/kaiti/诈.png,pic/hanyi_senty_wen/诈.png"
诉,4 5 3 3 1 2 4,894,08BC9,"pic/noto_serif/诉.png,pic/source_han_sans/诉.png,pic/AlibabaPuHuiTi/诉.png,pic/kaiti/诉.png,pic/hanyi_senty_wen/诉.png"
罕,4 5 3 4 1 1 2,895,07F55,"pic/noto_serif/罕.png,pic/source_han_sans/罕.png,pic/AlibabaPuHuiTi/罕.png,pic/kaiti/罕.png,pic/hanyi_senty_wen/罕.png"
诊,4 5 3 4 3 3 3,896,08BCA,"pic/noto_serif/诊.png,pic/source_han_sans/诊.png,pic/AlibabaPuHuiTi/诊.png,pic/kaiti/诊.png,pic/hanyi_senty_wen/诊.png"
词,4 5 5 1 2 5 1,897,08BCD,"pic/noto_serif/词.png,pic/source_han_sans/词.png,pic/AlibabaPuHuiTi/词.png,pic/kaiti/词.png,pic/hanyi_senty_wen/词.png"
译,4 5 5 4 1 1 2,898,08BD1,"pic/noto_serif/译.png,pic/source_han_sans/译.png,pic/AlibabaPuHuiTi/译.png,pic/kaiti/译.png,pic/hanyi_senty_wen/译.png"
君,5 1 1 3 2 5 1,899,0541B,"pic/noto_serif/君.png,pic/source_han_sans/君.png,pic/AlibabaPuHuiTi/君.png,pic/kaiti/君.png,pic/hanyi_senty_wen/君.png"
灵,5 1 1 4 3 3 4,900,07075,"pic/noto_serif/灵.png,pic/source_han_sans/灵.png,pic/AlibabaPuHuiTi/灵.png,pic/kaiti/灵.png,pic/hanyi_senty_wen/灵.png"
即,5 1 1 5 4 5 2,901,05373,"pic/noto_serif/即.png,pic/source_han_sans/即.png,pic/AlibabaPuHuiTi/即.png,pic/kaiti/即.png,pic/hanyi_senty_wen/即.png"
层,5 1 3 1 1 5 4,902,05C42,"pic/noto_serif/层.png,pic/source_han_sans/层.png,pic/AlibabaPuHuiTi/层.png,pic/kaiti/层.png,pic/hanyi_senty_wen/层.png"
屁,5 1 3 1 5 3 5,903,05C41,"pic/noto_serif/屁.png,pic/source_han_sans/屁.png,pic/AlibabaPuHuiTi/屁.png,pic/kaiti/屁.png,pic/hanyi_senty_wen/屁.png"
尿,5 1 3 2 5 3 4,904,05C3F,"pic/noto_serif/尿.png,pic/source_han_sans/尿.png,pic/AlibabaPuHuiTi/尿.png,pic/kaiti/尿.png,pic/hanyi_senty_wen/尿.png"
尾,5 1 3 3 1 1 5,905,05C3E,"pic/noto_serif/尾.png,pic/source_han_sans/尾.png,pic/AlibabaPuHuiTi/尾.png,pic/kaiti/尾.png,pic/hanyi_senty_wen/尾.png"
迟,5 1 3 4 4 5 4,906,08FDF,"pic/noto_serif/迟.png,pic/source_han_sans/迟.png,pic/AlibabaPuHuiTi/迟.png,pic/kaiti/迟.png,pic/hanyi_senty_wen/迟.png"
局,5 1 3 5 2 5 1,907,05C40,"pic/noto_serif/局.png,pic/source_han_sans/局.png,pic/AlibabaPuHuiTi/局.png,pic/kaiti/局.png,pic/hanyi_senty_wen/局.png"
改,5 1 5 3 1 3 4,908,06539,"pic/noto_serif/改.png,pic/source_han_sans/改.png,pic/AlibabaPuHuiTi/改.png,pic/kaiti/改.png,pic/hanyi_senty_wen/改.png"
张,5 1 5 3 1 5 4,909,05F20,"pic/noto_serif/张.png,pic/source_han_sans/张.png,pic/AlibabaPuHuiTi/张.png,pic/kaiti/张.png,pic/hanyi_senty_wen/张.png"
忌,5 1 5 4 5 4 4,910,05FCC,"pic/noto_serif/忌.png,pic/source_han_sans/忌.png,pic/AlibabaPuHuiTi/忌.png,pic/kaiti/忌.png,pic/hanyi_senty_wen/忌.png"
际,5 2 1 1 2 3 4,911,09645,"pic/noto_serif/际.png,pic/source_han_sans/际.png,pic/AlibabaPuHuiTi/际.png,pic/kaiti/际.png,pic/hanyi_senty_wen/际.png"
陆,5 2 1 1 2 5 2,912,09646,"pic/noto_serif/陆.png,pic/source_han_sans/陆.png,pic/AlibabaPuHuiTi/陆.png,pic/kaiti/陆.png,pic/hanyi_senty_wen/陆.png"
阿,5 2 1 2 5 1 2,913,0963F,"pic/noto_serif/阿.png,pic/source_han_sans/阿.png,pic/AlibabaPuHuiTi/阿.png,pic/kaiti/阿.png,pic/hanyi_senty_wen/阿.png"
陈,5 2 1 5 2 3 4,914,09648,"pic/noto_serif/陈.png,pic/source_han_sans/陈.png,pic/AlibabaPuHuiTi/陈.png,pic/kaiti/陈.png,pic/hanyi_senty_wen/陈.png"
阻,5 2 2 5 1 1 1,915,0963B,"pic/noto_serif/阻.png,pic/source_han_sans/阻.png,pic/AlibabaPuHuiTi/阻.png,pic/kaiti/阻.png,pic/hanyi_senty_wen/阻.png"
附,5 2 3 2 1 2 4,916,09644,"pic/noto_serif/附.png,pic/source_han_sans/附.png,pic/AlibabaPuHuiTi/附.png,pic/kaiti/附.png,pic/hanyi_senty_wen/附.png"
坠,5 2 3 4 1 2 1,917,05760,"pic/noto_serif/坠.png,pic/source_han_sans/坠.png,pic/AlibabaPuHuiTi/坠.png,pic/kaiti/坠.png,pic/hanyi_senty_wen/坠.png"
妓,5 3 1 1 2 5 4,918,05993,"pic/noto_serif/妓.png,pic/source_han_sans/妓.png,pic/AlibabaPuHuiTi/妓.png,pic/kaiti/妓.png,pic/hanyi_senty_wen/妓.png"
妙,5 3 1 2 3 4 3,919,05999,"pic/noto_serif/妙.png,pic/source_han_sans/妙.png,pic/AlibabaPuHuiTi/妙.png,pic/kaiti/妙.png,pic/hanyi_senty_wen/妙.png"
妖,5 3 1 3 1 3 4,920,05996,"pic/noto_serif/妖.png,pic/source_han_sans/妖.png,pic/AlibabaPuHuiTi/妖.png,pic/kaiti/妖.png,pic/hanyi_senty_wen/妖.png"
姊,5 3 1 3 5 2 3,921,059CA,"pic/noto_serif/姊.png,pic/source_han_sans/姊.png,pic/AlibabaPuHuiTi/姊.png,pic/kaiti/姊.png,pic/hanyi_senty_wen/姊.png"
妨,5 3 1 4 1 5 3,922,059A8,"pic/noto_serif/妨.png,pic/source_han_sans/妨.png,pic/AlibabaPuHuiTi/妨.png,pic/kaiti/妨.png,pic/hanyi_senty_wen/妨.png"
妒,5 3 1 4 5 1 3,923,05992,"pic/noto_serif/妒.png,pic/source_han_sans/妒.png,pic/AlibabaPuHuiTi/妒.png,pic/kaiti/妒.png,pic/hanyi_senty_wen/妒.png"
努,5 3 1 5 4 5 3,924,052AA,"pic/noto_serif/努.png,pic/source_han_sans/努.png,pic/AlibabaPuHuiTi/努.png,pic/kaiti/努.png,pic/hanyi_senty_wen/努.png"
忍,5 3 4 4 5 4 4,925,05FCD,"pic/noto_serif/忍.png,pic/source_han_sans/忍.png,pic/AlibabaPuHuiTi/忍.png,pic/kaiti/忍.png,pic/hanyi_senty_wen/忍.png"
劲,5 4 1 2 1 5 3,926,052B2,"pic/noto_serif/劲.png,pic/source_han_sans/劲.png,pic/AlibabaPuHuiTi/劲.png,pic/kaiti/劲.png,pic/hanyi_senty_wen/劲.png"
矣,5 4 3 1 1 3 4,927,077E3,"pic/noto_serif/矣.png,pic/source_han_sans/矣.png,pic/AlibabaPuHuiTi/矣.png,pic/kaiti/矣.png,pic/hanyi_senty_wen/矣.png"
鸡,5 4 3 5 4 5 1,928,09E21,"pic/noto_serif/鸡.png,pic/source_han_sans/鸡.png,pic/AlibabaPuHuiTi/鸡.png,pic/kaiti/鸡.png,pic/hanyi_senty_wen/鸡.png"
纬,5 5 1 1 1 5 2,929,07EAC,"pic/noto_serif/纬.png,pic/source_han_sans/纬.png,pic/AlibabaPuHuiTi/纬.png,pic/kaiti/纬.png,pic/hanyi_senty_wen/纬.png"
驱,5 5 1 1 3 4 5,930,09A71,"pic/noto_serif/驱.png,pic/source_han_sans/驱.png,pic/AlibabaPuHuiTi/驱.png,pic/kaiti/驱.png,pic/hanyi_senty_wen/驱.png"
纯,5 5 1 1 5 2 5,931,07EAF,"pic/noto_serif/纯.png,pic/source_han_sans/纯.png,pic/AlibabaPuHuiTi/纯.png,pic/kaiti/纯.png,pic/hanyi_senty_wen/纯.png"
纱,5 5 1 2 3 4 3,932,07EB1,"pic/noto_serif/纱.png,pic/source_han_sans/纱.png,pic/AlibabaPuHuiTi/纱.png,pic/kaiti/纱.png,pic/hanyi_senty_wen/纱.png"
纲,5 5 1 2 5 3 4,933,07EB2,"pic/noto_serif/纲.png,pic/source_han_sans/纲.png,pic/AlibabaPuHuiTi/纲.png,pic/kaiti/纲.png,pic/hanyi_senty_wen/纲.png"
纳,5 5 1 2 5 3 4,934,07EB3,"pic/noto_serif/纳.png,pic/source_han_sans/纳.png,pic/AlibabaPuHuiTi/纳.png,pic/kaiti/纳.png,pic/hanyi_senty_wen/纳.png"
